Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Tenure Type,Property Type,Parking Lot,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station
3.0,2.0,900.0,0,0,1,5,2.0,0,0,0,0,0,380000.0,0,0,0
3.0,2.0,900.0,0,0,1,5,2.0,0,0,0,0,0,380300.0,0,0,0
3.0,2.0,1001.0,0,0,0,0,2.0,0,0,0,0,0,280000.0,0,0,0
3.0,2.0,850.0,0,0,0,0,1.0,0,0,0,0,0,300000.0,0,0,0
4.0,2.0,1180.0,0,0,0,0,1.0,0,0,0,0,0,298000.0,0,0,0
4.0,2.0,1385.0,0,0,0,0,1.0,0,0,0,0,0,469000.0,0,0,0
3.0,2.0,800.0,0,0,0,0,1.0,0,0,0,0,0,270000.0,0,0,0
3.0,2.0,983.0,0,0,0,1,1.0,0,0,0,0,0,320000.0,0,0,0
3.0,3.0,1515.0,0,0,0,1,1.0,0,0,0,0,0,550000.0,0,0,0
3.0,3.0,1711.0,0,0,1,1,1.0,0,0,0,0,0,470000.0,0,0,0
3.0,2.0,850.0,0,0,1,1,1.0,0,0,0,0,0,245000.0,0,0,0
3.0,3.0,1667.0,0,0,1,1,1.0,0,0,0,0,0,580000.0,0,0,0
5.0,2.0,2020.0,0,0,1,1,2.0,0,0,0,0,0,650000.0,0,0,0
3.0,2.0,1012.0,0,0,0,5,3.0,0,0,0,1,0,369900.0,0,0,1
3.0,2.0,650.0,0,0,0,0,1.0,0,0,0,0,0,320000.0,0,0,0
3.0,2.0,650.0,1,0,0,0,1.0,0,0,1,1,1,220000.0,0,0,0
1.0,1.0,477.0,0,0,0,5,1.0,0,0,0,0,0,220000.0,0,0,0
3.0,2.0,1117.0,0,0,0,0,1.0,0,0,0,0,0,320000.0,0,0,0
2.0,1.0,516.0,0,0,0,3,1.0,0,0,0,0,0,118000.0,0,0,0
2.0,1.0,494.0,0,0,0,3,1.0,0,0,0,0,0,125000.0,0,0,0
3.0,3.0,1200.0,0,0,0,1,2.0,0,0,0,0,0,530000.0,0,0,0
4.0,3.0,1300.0,0,0,0,5,3.0,0,0,0,0,0,518000.0,0,0,0
2.0,1.0,526.0,0,0,0,3,1.0,0,0,0,0,0,110000.0,0,0,0
3.0,2.0,1261.0,0,0,0,1,2.0,1,1,0,1,0,659900.0,0,0,1
3.0,3.0,1690.0,0,0,0,1,2.0,0,0,0,0,0,738000.0,0,0,0
4.0,3.0,1300.0,0,0,0,5,1.0,0,0,0,0,0,545000.0,0,0,0
