Actual Price,Predicted Price
265000.0,267650.6618949611
518000.0,369657.84686891915
360000.0,267650.6618949611
360000.0,423894.5885557508
338800.0,306410.68145026726
280000.0,418152.97313214396
458000.0,267650.6618949611
715000.0,418152.97313214396
270000.0,299383.04631891
461000.0,267650.6618949611
175000.0,202235.59288642736
350000.0,443539.532124361
688000.0,418152.97313214396
568000.0,434509.3160542895
480000.0,275005.40967915393
460000.0,306410.68145026726
570000.0,2223361.810764706
550000.0,418152.97313214396
85000.0,299383.04631891
209000.0,319070.8509178608
330000.0,306410.68145026726
298000.0,369657.84686891915
358000.0,418152.97313214396
928000.0,588348.8329941008
285000.0,319070.8509178608
578000.0,540840.6424500814
350000.0,418152.97313214396
149000.0,202235.59288642736
480000.0,555139.3671706067
460000.0,350823.26389871765
245000.0,337804.3268244809
98000.0,190482.96756102628
550000.0,347812.84143481386
700000.0,443539.532124361
275000.0,347812.84143481386
400000.0,357773.027875324
290000.0,306410.68145026726
219999.0,306410.68145026726
320000.0,459053.30789303547
330000.0,267650.6618949611
280000.0,555139.3671706067
1150000.0,913662.8952420129
430000.0,332526.1661678233
460000.0,369657.84686891915
480000.0,421740.4435341395
178000.0,202235.59288642736
130000.0,192883.08281778856
480000.0,491608.5738040817
298000.0,306410.68145026726
430000.0,337804.3268244809
249000.0,306410.68145026726
305000.0,299383.04631891
170000.0,192883.08281778856
730000.0,434509.3160542895
910000.0,729770.3270960097
580000.0,144818.66631249804
190000.0,267650.6618949611
670000.0,822813.1611785212
360000.0,505050.9524817348
255000.0,306410.68145026726
280000.0,306410.68145026726
928000.0,697039.9091209152
228000.0,357773.027875324
420000.0,299383.04631891
250000.0,347812.84143481386
388000.0,347812.84143481386
610000.0,190482.96756102628
310000.0,369657.84686891915
210000.0,267650.6618949611
230000.0,421740.4435341395
168000.0,267650.6618949611
298000.0,413233.21184682957
1100000.0,1102804.7275457778
275000.0,359500.53371577134
450000.0,347812.84143481386
300000.0,418152.97313214396
115000.0,267650.6618949611
220000.0,267650.6618949611
175000.0,202235.59288642736
598000.0,443539.532124361
179500.0,267650.6618949611
467000.0,359500.53371577134
170000.0,312772.6869644501
1350000.0,1035639.3038023916
400000.0,383472.8313681296
210000.0,267650.6618949611
400000.0,544628.4690360535
410000.0,369657.84686891915
227000.0,275005.40967915393
538000.0,544628.4690360535
270000.0,421740.4435341395
195000.0,267650.6618949611
430000.0,306410.68145026726
240000.0,369657.84686891915
330000.0,421740.4435341395
380000.0,421740.4435341395
270000.0,357773.027875324
255000.0,347812.84143481386
620000.0,443539.532124361
1150000.0,540840.6424500814
3499999.0,3309879.310075777
85000.0,275005.40967915393
200000.0,192883.08281778856
420000.0,299383.04631891
150000.0,184091.38634096715
840000.0,540840.6424500814
320000.0,267650.6618949611
950000.0,589360.0585211406
350000.0,267650.6618949611
1050000.0,1063082.61968556
